date,S1,S2,S3,S4,S5
1984-01-01,0,0,0,0,0
1984-01-02,0,0,0.5,0,2
1984-01-03,0,0,0,0,0.2
1984-01-04,0.4,3.2,3.3,0.7,2.5
1984-01-05,0,0,0,0,0
1984-01-06,0,0,0,0,0.1
1984-01-07,0,0,0,0,0
1984-01-08,0,0,0,0,0
1984-01-09,0,0,0,0,0
1984-01-10,0,0,0,0,0
1984-01-11,0.2,1.5,9.6,2.2,5.4
1984-01-12,1.7,1.4,1.1,3.3,3.5
1984-01-13,2.3,4.5,5.3,3.3,7.2
1984-01-14,0,0,0,0,0
1984-01-15,0,0,0,0,0
1984-01-16,6.6,4.7,1.7,0.7,0
1984-01-17,0.1,1.7,3.6,0,0.4
1984-01-18,2,4.5,6.8,5.8,5.9
1984-01-19,0.3,5.5,6,3.5,1
1984-01-20,3.7,3.7,5.2,4.7,6.6
1984-01-21,12.2,13.7,8.8,28.7,26.6
1984-01-22,1.3,1.2,2.1,1.1,0.4
1984-01-23,0,0,0,0,0
1984-01-24,0,0,0,0,0
1984-01-25,0.1,3.5,4.9,1.9,1.5
1984-01-26,0,0,0,0,0
1984-01-27,1.1,3.2,0,2.6,0
1984-01-28,7.4,20.3,35.4,10.8,4.6
1984-01-29,0,0,0,0,0
1984-01-30,5.4,29.8,42,22.2,8.8
1984-01-31,0,0,0,0,0
1984-02-01,2.1,17.6,12,5.2,1
1984-02-02,2.6,2.8,0,0,0
1984-02-03,0,0,0,0,0
1984-02-04,0.5,7.1,5.2,9.1,1.8
1984-02-05,0,0,0,0,0
1984-02-06,0.3,0,0,2.1,0
1984-02-07,0,0,0,0,0
1984-02-08,6.1,15.7,13.8,12.1,4.3
1984-02-09,6.3,14.1,29.5,11,4.7
1984-02-10,9.5,13.6,19,5.5,1.9
1984-02-11,14.1,32.4,34.5,10.2,12.7
1984-02-12,0.2,0,0,0,0
1984-02-13,0,0,0,0,0
1984-02-14,1.9,1,1.5,0.9,1.3
1984-02-15,0,0,0,0,0
1984-02-16,0,0,0,0,0
1984-02-17,10.4,10.4,12.1,10.4,13.2
1984-02-18,1.5,3,1.1,0.9,4.2
1984-02-19,0,0,0,2.5,0
1984-02-20,3.4,3.4,4.3,0.9,2.5
1984-02-21,0,0,0,0,0
1984-02-22,7.8,11.2,20.7,7.3,0.7
1984-02-23,0,0,0,0,0
1984-02-24,0,0,0,0,0
1984-02-25,14.6,14.1,31.6,18.5,12.8
1984-02-26,0,0,0,0,0
1984-02-27,2.8,6.5,7.7,4.8,2.6
1984-02-28,8,15.9,11.3,4.8,6.8
1984-02-29,0.1,0,0,0,0
1984-03-01,15.1,28.2,39,22,9.2
1984-03-02,0,0,0,0,0
1984-03-03,0,0,0,0,0
1984-03-04,0,0,0,0,0
1984-03-05,0.1,0,0,2.4,2.5
1984-03-06,0,0,0,0,0
1984-03-07,1.1,2.1,8,0.5,0
1984-03-08,1.5,4.5,2.2,6.4,4.2
1984-03-09,0,0,0,0,0
1984-03-10,10.2,25.3,25.4,22.8,5.3
1984-03-11,4.2,24.7,17,5.7,0
1984-03-12,4.1,2.6,4.2,6.4,8.6
1984-03-13,0,0,0,0,6.7
1984-03-14,13.3,9.6,5.2,3.5,11
1984-03-15,1,1.1,4.6,1.3,1
1984-03-16,1.6,3.2,3.2,4.5,17.9
1984-03-17,0,0,0,3.2,2.9
1984-03-18,0,0,0,0,0
1984-03-19,0,0,0,0,0
1984-03-20,0.5,0,2,0.9,0.1
1984-03-21,17.8,13.7,14.5,12,11
1984-03-22,0.1,0,0,0.3,0.4
1984-03-23,0.4,1.9,2.5,0.6,0.9
1984-03-24,0,0,0,0,0
1984-03-25,10.2,15.5,22.5,11.8,15.9
1984-03-26,2.1,1.8,0.2,0,0
1984-03-27,2.5,13.8,15.5,7.5,5
1984-03-28,0,0.7,6,0,0
1984-03-29,14.9,14.3,26.3,5.4,1.4
1984-03-30,0,0,1.8,0,0
1984-03-31,0,0,0,0,0
1984-04-01,0,0,0,0,2.7
1984-04-02,0,0,0,0,0.2
1984-04-03,10.7,6,0.3,7.7,1.9
1984-04-04,0,0,0,0,0
1984-04-05,0,0,0,0,0
1984-04-06,1.6,6.1,15.4,7.2,6.7
1984-04-07,0,0,0,0,0
1984-04-08,0.2,1.2,0,0,6.3
1984-04-09,0,0,0,0,0
1984-04-10,9.4,6.6,3,6.9,13.1
1984-04-11,0,0,0,0,0
1984-04-12,5.1,5.1,4.6,4.5,3.8
1984-04-13,0,0.2,0,0,1.1
1984-04-14,0,0,0,0,0
1984-04-15,0,0,0,0.5,0.6
1984-04-16,0,0,0,0,0
1984-04-17,2.2,7.7,14.3,0.7,3.1
1984-04-18,0,0,0,0,0
1984-04-19,0,0,0,0,0
1984-04-20,16.3,19.1,26.2,12.9,14
1984-04-21,14.1,12.7,27,0.6,6.4
1984-04-22,7.2,6.1,7,1.5,4.3
1984-04-23,0,0,0,0,0
1984-04-24,12.9,15.7,23.8,20.1,17.3
1984-04-25,4.4,9.1,4,9,12.5
1984-04-26,0,0,0,1.2,15
1984-04-27,0,0.6,0.6,0,0
1984-04-28,6.9,8.6,5,9.3,10.9
1984-04-29,5.9,2.6,4.3,3.1,6.1
1984-04-30,9.5,5.3,8,4.5,10
1984-05-01,0,0,0,0,0
1984-05-02,1.9,0,1.1,0,0
